Observation ID,Name,Data Type,Latitude,Longitude,Color,Material,Town,Link to Picture,Open/Closed,Number of People,Price Range (CHF)
G1_R0,Solar Panel 1,Solar Panel,45.90187,8.97062,Black,crystalline silicon,Riva San Vitale,https://drive.google.com/file/d/1P91eS5RCPLk_TuPHWM9bnzRaUt6PiUlj/view?usp=drive_link,N/A,N/A,N/A
G1_R1,Statues 1,Statues,45.9044,8.97055,Pale off-white/cream,lime-plastered masonry,Riva San Vitale,https://drive.google.com/file/d/1tgSBeQguIu10f5zDgBp02bva-xZ01Us-/view?usp=drive_link,N/A,N/A,N/A
G1_R2,Solar Panel 2,Solar Panel,45.90696,8.97095,Black,crystalline silicon,Riva San Vitale,https://drive.google.com/file/d/1kngJeMCJY5VlB6FlyZPtl58rvjKAhYR3/view?usp=sharing,N/A,N/A,N/A
G1_R3,Floors 1,Floors/Bridges,45.90608,8.97254,Gray,Pre-cast concrete (cement + sand + crushed aggregate with iron-oxide pigments,Riva San Vitale,https://drive.google.com/file/d/1y7Ue-Iqir3_Tj5Hbs8yPCeWHOEIM9I7I/view?usp=sharing,N/A,N/A,N/A
G1_R4,Floors 2,Floors/Bridges,45.90475,8.97052,Light Gray,natural igneous stone,Riva San Vitale,https://drive.google.com/file/d/1X3TihpIcc6KJDSuwy2_-2CIxiJfV8DLv/view?usp=sharing,N/A,N/A,N/A
G1_R5,Fountain 1,Fountains,45.90572,8.9713,Light Gray,granite,Riva San Vitale,https://drive.google.com/file/d/1D0GOe--hKk6VdRS2iYmQEIBkBfKWa7YV/view?usp=sharing,N/A,N/A,N/A
G1_R6,Fountain 2,Fountains,45.90338,8.97015,Gray,porous calcareous stone,Riva San Vitale,https://drive.google.com/file/d/1Gyy81htRjRq1Mv0H5KtIlnfnb4xLPglN/view?usp=drive_link,N/A,N/A,N/A
G1_R7,Statues 2,Statues,45.90538,8.9711,Green,bronze,Riva San Vitale,https://drive.google.com/file/d/1o0Vgj0eUTNCNaa0Rt9UY5M3_vbr_3-6z/view?usp=drive_link,N/A,N/A,N/A
G1_R8,Floors 3,Floors/Bridges,45.90533,8.97229,Light Gray,concrete,Riva San Vitale,https://drive.google.com/file/d/125CT2f_R9yzz8LjEHoVz6t_ModQXlZc3/view?usp=sharing,N/A,N/A,N/A
G1_R9,Floors 4,Floors/Bridges,45.90469,8.97089,Gray,limestone,Riva San Vitale,https://drive.google.com/file/d/1ZuanmT2az0urOML86uZm60cjH94AYoJZ/view?usp=sharing,N/A,N/A,N/A
G1_R10,Statues 3,Statues,45.90394,8.97057,Green,bronze,Riva San Vitale,https://drive.google.com/file/d/1XyDr3Xn6PGDf_PQjw4lJDvMApwoYVJlW/view?usp=drive_link,N/A,N/A,N/A
G1_R11,Building 1,Building,45.9031,8.97038,Pink,masonry walls,Riva San Vitale,https://drive.google.com/file/d/1WKdSvuEDD-zM6U_TMK8kZQ8mrYt1S9fV/view?usp=sharing,N/A,N/A,N/A
G1_R12,Building 2,Building,45.9055,8.97067,Beige/Black/Brown,fieldstone,Riva San Vitale,https://drive.google.com/file/d/1YdVpo7OJ1YgKwTgohKW19jU2XTXXpYqm/view?usp=sharing,N/A,N/A,N/A
G1_R13,Archways 1,Archways,45.90566,8.97118,Beige,limestone,Riva San Vitale,https://drive.google.com/file/d/1XmiB-2tGJCCkbDGs9DETN8--2pNw25y1/view?usp=drive_link,N/A,N/A,N/A
G1_R14,Building 3,Building,45.90575,8.97061,Grey/Green,Masonry walls,Riva San Vitale,https://drive.google.com/file/d/1ozg5TAK8Xmbp3nmBRhpDk1T_61_yOE14/view?usp=sharing,N/A,N/A,N/A
G1_R15,Building 4,Building,45.90691,8.97001,Yellow,masonry walls,Riva San Vitale,https://drive.google.com/file/d/1UgEKVW8DvS2mBYLj6O_QbnvzY5S-xSVd/view?usp=sharing,N/A,N/A,N/A
G1_R16,Archway 2,Archways,45.90586,8.971,White,masonry,Riva San Vitale,https://drive.google.com/file/d/1ROHhglJH_XPLnqC7nlLMWdCMQj18sjTw/view?usp=drive_link,N/A,N/A,N/A
G1_R17,Archway 3,Archways,45.90615,8.97014,Brown,stone masonry,Riva San Vitale,https://drive.google.com/file/d/1w2Om1p4V9qOWLHWhPKCk6XMvD5b7l5rQ/view?usp=drive_link,N/A,N/A,N/A
G1_R18,Doors 1,Doors,45.90461,8.97078,Brown,Wood,Riva San Vitale,https://drive.google.com/file/d/1J1hUvw2zIzOonC4uCQUYsbNg34tbFoeI/view?usp=drive_link,N/A,N/A,N/A
G1_R19,Doors 2,Doors,45.90419,8.97054,Green,Wood,Riva San Vitale,https://drive.google.com/file/d/1khapkGGvCCVRcKtwazSpOY3k2NOoKNQf/view?usp=drive_link,N/A,N/A,N/A
G1_PC0,Floors 5,Floors/Bridges,45.90431,8.90564,Grey,Stone,Porto Ceresio,https://drive.google.com/file/d/1zV76k5XSLO6agjgpv1xT-BQ2D73arLiE/view?usp=sharing,N/A,N/A,N/A
G1_PC1,Floors 6,Floors/Bridges,45.90356,8.90109,Grey/Brown,Wood,Porto Ceresio,https://drive.google.com/file/d/1UMhewFmdXqZYh8aa8446uY14oMK6Nbd5/view?usp=sharing,N/A,N/A,N/A
G1_PC2,Floors 7,Floors/Bridges,45.90252,8.90384,Grey,Stone,Porto Ceresio,https://drive.google.com/file/d/1GoSoLxhgyLqthI6sYFaLXwE4PeYf_co5/view?usp=sharing,N/A,N/A,N/A
G1_PC3,Floors 8,Floors/Bridges,45.904,8.90551,Brown,Wood,Porto Ceresio,https://drive.google.com/file/d/1NDiV4eWFjb6ydfW6VclgAX8OZyVNYXax/view?usp=sharing,N/A,N/A,N/A
G1_PC4,Floors 9,Floors/Bridges,45.90201,8.90361,Brown,Stone,Porto Ceresio,https://drive.google.com/file/d/1BdAs2yEJKIZsnvaiydBxRYKs0bR5kzgH/view?usp=sharing,N/A,N/A,N/A
G1_PC5,Floors 10,Floors/Bridges,45.90394,8.90617,Black/White,Marble,Porto Ceresio,https://drive.google.com/file/d/1j5c0VDtGwC-JXqw2oz1oIPhQagOKfwfq/view?usp=sharing,N/A,N/A,N/A
G1_PC6,Floors 11,Floors/Bridges,45.90452,8.90608,Gray/Brown,Stone,Porto Ceresio,https://drive.google.com/file/d/1WIBISwLIwOmQgJ_rs4wU1qZkcwjaYQES/view?usp=sharing,N/A,N/A,N/A
G1_PC7,Floors 12,Floors/Bridges,45.90452,8.90608,Black/Brick Red,stone   ,Porto Ceresio,https://drive.google.com/file/d/1BnV4H-u9hvK4Yf92bZCFSjqq6xnZ2mPd/view?usp=sharing,N/A,N/A,N/A
G1_PC8,Floors 13,Floors/Bridges,45.90452,8.90608,Brown,stone,Porto Ceresio,https://drive.google.com/file/d/1T-Gopzcgov7bYlkSeeF_B3IY0LhlDfkY/view?usp=sharing,N/A,N/A,N/A
G1_PC9,Fountain 3,Fountains,45.90452,8.90608,Brown/Grey,metal,Porto Ceresio,https://drive.google.com/file/d/1TAybYt8BGEzX-95oCvGcAc1yCP9HIs0h/view?usp=sharing,N/A,N/A,N/A
G1_PC10,Statues 4,Statues,45.90452,8.90608,Gray,bronze ,Porto Ceresio,https://drive.google.com/file/d/10YO5WOfOtM6W8sAKXFLSw34_E9K6-j3X/view?usp=sharing,N/A,N/A,N/A
G1_PC11,Statues 5,Statues,45.90452,8.90608,Gray,Stone,Porto Ceresio,https://drive.google.com/file/d/1LAmn6B0cT39DNs88YC2mWISNaGtfgqkz/view?usp=sharing,N/A,N/A,N/A
G1_PC12,Statues 6,Statues,45.90316,8.90158,Red,Metal,Porto Ceresio,https://drive.google.com/file/d/1tDvtemqhMvoGv4jYjsF5tfwnWTuoq1Y6/view?usp=sharing,N/A,N/A,N/A
G1_PC13,Doors 3,Doors,45.90232,8.90254,Blue,Steel,Porto Ceresio,https://drive.google.com/file/d/138KCPUdtpxUAvpHFySVlPVdX7lDrJXQw/view?usp=sharing,N/A,N/A,N/A
G1_PC14,Building 5,Building,45.90401,8.90613,Yellow Striped,Masonry,Porto Ceresio,https://drive.google.com/file/d/1bwgVCPdZb-A6ZJkkSS0MVdmHED6s-4am/view?usp=sharing,N/A,N/A,N/A
G1_PC15,Building 6,Building,45.90272,8.90312,White/Tan,Masonry,Porto Ceresio,https://drive.google.com/file/d/1B86GSGdx_Yk5vBKzVoe8DzViynspniXW/view?usp=sharing,N/A,N/A,N/A
G1_PC16,Building 7,Building,45.90271,8.90442,Brown/Tan,Masonry,Porto Ceresio,https://drive.google.com/file/d/1rtUvxZE7TioIFFjSCwA_23Hbdo8nDMTO/view?usp=sharing,N/A,N/A,N/A
