Observation ID,Name,Data Type,Latitude,Longitude,Town,Link to Picture
G2_L2,Lion Paper Art,Art,46.522837,6.630155,Lausanne,https://drive.google.com/file/d/1hdXpBGjgELfMhrPg61zbWUdrPCi7qneS/view?usp=drive_link
G2_L3,Vinyl Record Poster ,Art,46.523354,6.629755,Lausanne,https://drive.google.com/file/d/1r3wT4OJhA4eFNmv1AtKD3K4fjNQc5NU2/view?usp=drive_link
G2_L4,Easter Chick,Cultural,46.522676,6.630336,Lausanne,https://drive.google.com/file/d/1A6DsyGBn7ULg_Ydwk92Zzo3J0MaWiDfn/view?usp=drive_link
G2_L5,Church 1,Church,46.522269,6.630867,Lausanne,https://drive.google.com/file/d/1i-asJ-6CxWipAvd08yOk2JHPoCOb24aw/view?usp=drive_link
G2_L6,Grafitti 1,Art,46.522498,6.630678,Lausanne,https://drive.google.com/file/d/174-r_kDs5x-nivl_eVpHCZaCkeL8hkjn/view?usp=drive_link
G2_L7,Wall Art,Art,46.522658,6.630707,Lausanne,https://drive.google.com/file/d/1BLtOoRdeiJpL2K3tWFHA0UZ8P-vF1SPX/view?usp=drive_link
G2_L8,Grafitti 2,Art,46.522796,6.630775,Lausanne,https://drive.google.com/file/d/1ESY-EEF2-IojPx7lEgHwiiI0sMMdMF4w/view?usp=drive_link
G2_L9,Grafitti 3,Art,46.523108,6.631265,Lausanne,https://drive.google.com/file/d/1zv7aCncpMQzQTbxVaCNBFKDU97K2hUxL/view?usp=drive_link
G2_L10,Church 2,Church,46.523702,6.630935,Lausanne,https://drive.google.com/file/d/1eVguaF9aD2QZNIOrwS5Q0m50_BJ9qY0r/view?usp=drive_link
G2_L11,City Center,Cultural,46.523677,6.633628,Lausanne,https://drive.google.com/file/d/1SAF3BMMOlu40M2vPX73v-K6XVcem-zW5/view?usp=drive_link
G2_L12,Lausanne By the Sea Art,Art,46.522931,6.632048,Lausanne,https://drive.google.com/file/d/1QilDmwfUWGhvdh3Z39x1igWVRedUdYm4/view?usp=drive_link
G2_L13,Church 3,Church,46.523881,6.631994,Lausanne,https://drive.google.com/file/d/1OWJh5DjNjlV55YLLeuWm5JApba-Ieb5P/view?usp=drive_link
G2_L14,Oldest Museum,Cultural,46.522709,6.632098,Lausanne,https://drive.google.com/file/d/19nyBurXEGgfOSe67oEKHiM09JMSfNMO5/view?usp=drive_link
G2_L15,Grafitti 4,Art,46.522784,6.631471,Lausanne,https://drive.google.com/file/d/1GhxTolUenGeswEJd3eWRCDOlOMDoh1-3/view?usp=drive_link
G2_L16,Pottery ,Art,46.5227,6.633061,Lausanne,https://drive.google.com/file/d/1DID59L-W_GHsLjYHg0pQ3CEp4p0hhpB7/view?usp=drive_link
G2_L17,Heart Grafitti,Art,46.52227,6.633104,Lausanne,https://drive.google.com/file/d/1ch4jdRoeVKUgtAEZ_uGjoqpI4CA6Z0xz/view?usp=drive_link
G2_L18,City Center 2,Cultural,46.52172,6.632825,Lausanne,https://drive.google.com/file/d/1ndeMqmefbnEmzm5rvR-lJyXiE0u_MEyr/view?usp=drive_link
G2_L19,Mini Clock Tower Show,Cultural,46.52156,6.633408,Lausanne,https://drive.google.com/file/d/1RXMXoBIMyRI4GxKRmAHx3HaXO7BBQnf2/view?usp=drive_link
G2_L20,Water Fountain + Statue,Cultural,46.52177,6.63327,Lausanne,https://drive.google.com/file/d/1P3t6gXhnPEFVRYivVHDInU4cGEvX11si/view?usp=drive_link
G2_L21,LeBourg Flag,Cultural,46.520777,6.633681,Lausanne,https://drive.google.com/file/d/1X3rXDmIrJEKXbS9pHra7Yh-d6rhED0oH/view?usp=drive_link
G2_L22,Fish symbol on drain,Art,46.520977,6.633416,Lausanne,https://drive.google.com/file/d/10UXChskqC7_xZw3TbDFBYpmA_Ru2O6qT/view?usp=drive_link
G2_L23,Eye grafitti,Art,46.520749,6.633055,Lausanne,https://drive.google.com/file/d/1lGCSBtb4NxXjrDDxN__lIqCJCfwyiZHK/view?usp=drive_link
G2_L24,Fairytale Grafitti,Art,46.52151,6.632613,Lausanne,https://drive.google.com/file/d/1EpKi3u8zgpLoNrpoucN4CdfiPjsM9mnI/view?usp=drive_link
G2_L25,Hello Kitty Grafitti,Art,46.521331,6.632555,Lausanne,https://drive.google.com/file/d/10DXawXwZnFPJ4x-stuIUt20Gm0oo5qOl/view?usp=drive_link
G2_L26,Manga Art,Art,46.521432,6.6327,Lausanne,https://drive.google.com/file/d/1h9HCMK3HohiKaGSAe-fILxemqZGZKbtv/view?usp=drive_link
G2_L27,Education First Center,Cultural,46.521059,6.63379,Lausanne,https://drive.google.com/file/d/12tZXIOMMwyDyS86abfO5nyzOVuWgP1MX/view?usp=drive_link
G2_L28,Live Music,Cultural,46.521404,6.633321,Lausanne,https://drive.google.com/file/d/1BT6ZMNek0pYQ8yaNAnvuXbLWt1KZBWmT/view?usp=drive_link
G2_L29,Decorated Fire Hydrant,Art,46.522258,6.633889,Lausanne,https://drive.google.com/file/d/1JETk_-T5FZ_sW7w5I_XfKB3gMaz7dRfi/view?usp=drive_link
G2_L30,Grafitti 5,Art,46.522287,6.633912,Lausanne,https://drive.google.com/file/d/1u3NPTAUvfpyL0SQhPI613Hb3D7t5z9mG/view?usp=drive_link
G2_L31,Spider Grafitti,Art,46.522495,6.634316,Lausanne,https://drive.google.com/file/d/1lNtB_lkVdycWO3_0pnkByZiTnxKpKcaQ/view?usp=drive_link
G2_L32,Big Cathedral,Church,46.522623,6.63523,Lausanne,https://drive.google.com/file/d/1ldmdM9o-PouqACrweG3VcXD7Qv5K4WBs/view?usp=drive_link
G2_L33,Grafitti 6,Art,46.522513,6.634421,Lausanne,https://drive.google.com/file/d/1Avei0PMm-QHRrcSkOijUdHXrtwEUL2SC/view?usp=drive_link
G2_L34,Stained Glass in Cathedral,Art,46.522623,6.63523,Lausanne,https://drive.google.com/file/d/1OhtNHMYrI8fE1h64whrgj4GKcxOO2Txa/view?usp=drive_link
